strain,id,flavors,positive,medical,Type,Rating,Flavor
Thai Haze,1955,"Pine, Pepper, Sweet","Euphoric, Happy, Creative, Energetic, Aroused","Depression, Pain, Stress, Lack of Appetite, Headache, Muscle Spasms",sativa,4.3,"Pine,Pepper,Sweet"
Thai Lights,1956,"Earthy, Spicy/Herbal, Pine","Euphoric, Happy, Energetic, Uplifted, Focused","Depression, Stress, Lack of Appetite, Fatigue, Headaches",hybrid,4.7,"Earthy,Spicy/Herbal,Pine"
The Black,1960,"Earthy, Sweet, Woody","Relaxed, Euphoric, Happy, Sleepy, Focused","Depression, Insomnia, Pain, Stress, Inflammation",indica,4.4,"Earthy,Sweet,Woody"
The Blintz,1961,"Earthy, Lavender, Pungent","Happy, Creative, Energetic, Uplifted, Focused","Pain, Cramps, Lack of Appetite, Nausea, Fatigue",hybrid,5.0,"Lavender,Earthy,Pungent"
The Blood,1962,"Earthy, Pungent, Tropical","Creative, Energetic, Uplifted, Focused, Aroused","Depression, Stress, Lack of Appetite, Fatigue, Headaches",sativa,4.6,"Earthy,Pungent,Tropical"
The Brotherhood,1963,"Earthy, Sweet, Vanilla","Euphoric, Happy, Energetic, Aroused","Pain, Stress, Fatigue",hybrid,4.5,"Earthy,Coffee,Sweet"
The Cough,1964,"Pungent, Pine, Citrus","Euphoric, Happy, Energetic, Uplifted, Giggly","Depression, Pain, Stress, Nausea, Fatigue",sativa,4.5,"Pungent,Pine,Citrus"
The Doctor,1965,"Earthy, Citrus, Pungent","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Inflammation",indica,4.4,"Citrus,Sweet,Grapefruit"
The Flav,1966,"Flowery, Berry, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Stress, Lack of Appetite, Nausea, Headache, Headaches",hybrid,4.2,"Berry,Flowery,Diesel"
The Grunk,1968,"Grape, Skunk, Pungent","Euphoric, Happy, Creative, Energetic","Depression, Insomnia, Pain, Lack of Appetite, Headache, Headaches",hybrid,4.6,"Grape,Skunk,Sweet"
The One,1971,"Earthy, Pungent, Pine","Relaxed, Euphoric, Happy, Sleepy, Giggly","Depression, Pain, Stress, Nausea, Inflammation",hybrid,4.9,"Pungent,Pine,Diesel"
The Sauce,1973,"Earthy, Citrus, Lime","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Pain, Stress, Lack of Appetite, Headaches",hybrid,4.8,"Earthy,Sweet,Citrus"
The Sheriff,1974,"Earthy, Woody","Relaxed, Uplifted, Sleepy",Eye Pressure,hybrid,4.0,"Earthy,Woody"
The Sister,1975,"Sweet, Diesel, Skunk","Relaxed, Creative, Uplifted, Tingly, Aroused","Depression, Insomnia, Pain, Lack of Appetite, Headaches",indica,4.3,"Sweet,Diesel,Citrus"
The Third Dimension,1976,"Citrus, Sweet, Orange","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Muscle Spasms",hybrid,4.5,"Citrus,Earthy,Chemical"
The Truth,1977,"Earthy, Berry, Woody","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Headaches",hybrid,4.6,"Earthy,Woody,Berry"
The Void,1978,"Pungent, Cheese, Spicy/Herbal","Relaxed, Euphoric, Happy, Talkative, Uplifted","Depression, Insomnia, Pain, Stress, Headache, Fatigue",hybrid,4.5,"Sweet,Grape,Flowery"
The White,1979,"Earthy, Pine, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.6,"Earthy,Pine,Pungent"
The Wife,1980,"Sweet, Tree Fruit, Plum","Relaxed, Happy, Creative, Uplifted, Aroused","Depression, Pain, Fatigue, Inflammation, Muscle Spasms",hybrid,4.9,"Lemon,Sweet,Tree,Fruit"
Thelonious Skunk,1981,"Skunk, Citrus, Pungent","Relaxed, Euphoric, Happy, Uplifted","Depression, Insomnia, Pain, Stress",hybrid,4.8,"Skunk,Citrus,Spicy/Herbal"
Think Different,1983,"Flowery, Tropical, Honey","Hungry, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Fatigue, Eye Pressure",hybrid,4.3,"Flowery,Sweet,Lemon"
Thunderbird Rose,1986,"Rose, Sweet, Earthy","Euphoric, Happy, Creative, Uplifted, Focused","Depression, Pain, Stress, Fatigue, Headaches",sativa,4.8,"Rose,Sweet,Earthy"
Thunderstruck,1987,"Sweet, Pine, Spicy/Herbal","Relaxed, Happy, Creative, Uplifted, Tingly","Depression, Pain, Stress, Eye Pressure, Inflammation",sativa,4.9,"Sweet,Earthy,Tropical"
Tickle Kush,1988,"Apple, Berry, Apricot","Euphoric, Happy, Creative, Energetic, Giggly","Depression, Pain, Stress, Fatigue",hybrid,4.3,"Berry,Apple,Spicy/Herbal"
Tiger Woods,1989,"Sweet, Flowery, Pungent","Euphoric, Happy, Tingly, Giggly","Depression, Stress, Lack of Appetite, Nausea",hybrid,4.1,"Sweet,Flowery,Pungent"
Tillamook Strawberry,1992,"Strawberry, Sweet, Diesel","Hungry, Euphoric, Happy, Uplifted, Focused","Depression, Insomnia, Lack of Appetite",hybrid,4.7,"Strawberry,Sweet,Berry"
Timewreck,1993,"Cheese, Sage, Sweet","Euphoric, Happy, Energetic, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Headache, Fatigue",sativa,4.4,"Citrus,Pepper,Grapefruit"
Tina Danza,1994,"Flowery, Pine","Relaxed, Hungry, Happy, Creative","Depression, Insomnia, Stress, Lack of Appetite, Fatigue",hybrid,4.6,"Earthy,Pine,Lemon"
Tora Bora,1999,"Earthy, Spicy/Herbal, Pine","Relaxed, Euphoric, Happy, Tingly, Sleepy","Insomnia, Pain, Stress, Inflammation, Muscle Spasms",indica,4.5,"Pine,Earthy,Berry"
Toxic Punch,2000,"Pine, Berry, Citrus","Relaxed, Hungry, Happy, Energetic, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.1,"Pine,Berry,Citrus"
Training Day,2001,"Earthy, Pine, Pungent","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms",indica,4.5,"Citrus,Lime,Chemical"
Trainwreck,2002,"Earthy, Pine, Citrus","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headaches",hybrid,4.2,"Earthy,Pine,Lemon"
Trash,2005,"Earthy, Berry, Citrus","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Pain, Stress, Nausea, Inflammation",hybrid,4.7,"Pungent,Skunk,Diesel"
Travel Joint,2006,"Lemon, Lime, Earthy","Happy, Creative, Energetic, Uplifted, Aroused","Depression, Stress, Nausea, Fatigue, Inflammation",hybrid,4.5,"Lime,Lemon,Earthy"
Treasure Island,2007,"Earthy, Flowery, Lavender","Relaxed, Happy, Energetic, Focused","Depression, Pain, Stress, Headaches, Inflammation",hybrid,4.7,"Pepper,Spicy/Herbal,Flowery"
Tres Dawg,2009,"Citrus, Pungent, Sweet","Relaxed, Euphoric, Happy, Energetic, Sleepy","Depression, Pain, Stress, Lack of Appetite, Fatigue",hybrid,4.5,"Citrus,Pungent,Diesel"
Triangle Kush,2010,"Earthy, Pine, Sweet","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Headache, Headaches",indica,4.5,"Earthy,Pine,Sweet"
Trident,2011,"Pungent, Earthy, Citrus","Relaxed, Happy, Uplifted, Tingly, Sleepy","Depression, Pain, Stress, Inflammation, Muscle Spasms",hybrid,4.3,"Citrus,Sweet,Pungent"
Trifecta,2012,Skunk,"Relaxed, Hungry, Euphoric, Uplifted, Tingly","Depression, Insomnia, Pain, Stress, Nausea, Headache",hybrid,4.4,Skunk
Trinity,2013,"Pungent, Earthy, Skunk","Relaxed, Euphoric, Happy, Focused, Aroused","Depression, Pain, Stress, Nausea, Headache, Headaches",sativa,4.3,"Earthy,Pungent,Skunk"
Triple Cheese,2014,"Cheese, Pungent, Sweet","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Pain, Stress, Lack of Appetite, Fatigue",indica,4.5,"Earthy,Pungent,Cheese"
Triple Diesel,2015,"Diesel, Sweet, Tropical","Relaxed, Euphoric, Happy, Creative, Uplifted","Pain, Lack of Appetite, Headaches, Eye Pressure, Muscle Spasms",sativa,4.2,"Diesel,Sweet,Earthy"
Trix,2016,"Sweet, Berry, Grape","Happy, Energetic, Talkative, Uplifted","Depression, Stress, Fatigue, Spasticity",sativa,4.9,"Lime,Grapefruit,Tropical"
Tropic Thunder,2017,"Tropical, Grapefruit, Sweet","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.6,"Tropical,Sweet,Pineapple"
Tropical Tang,2018,"Citrus, Apricot, Skunk","Relaxed, Euphoric, Happy, Focused","Depression, Pain, Stress, Headache, Fatigue, Headaches",hybrid,4.5,"Citrus,Apricot,Skunk"
Tropicali,2019,"Tropical, Orange, Citrus","Relaxed, Hungry, Euphoric, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headache, Headaches",hybrid,4.4,"Tropical,Orange,Sweet"
Truffle Butter,2022,"Chestnut, Coffee, Sweet","Euphoric, Aroused","Insomnia, Pain, Stress, Fatigue, Inflammation",indica,4.5,"Sweet,Vanilla,Chestnut"
Truth Serum,2023,"Spicy/Herbal, Citrus, Earthy","Relaxed, Happy, Energetic, Talkative, Giggly","Stress, Lack of Appetite",hybrid,4.3,"Spicy/Herbal,Pepper,Citrus"
Tuna Kush,2024,"Skunk, Pungent, Sweet","Relaxed, Hungry, Happy, Uplifted, Sleepy","Depression, Stress, Lack of Appetite, Nausea, Fatigue",indica,4.5,"Skunk,Earthy,Pungent"
Turbo Mind Warp,2025,"Spicy/Herbal, Earthy, Flowery","Hungry, Euphoric, Happy, Uplifted, Focused","Depression, Pain, Stress, Lack of Appetite, Headaches",hybrid,4.5,"Spicy/Herbal,Flowery,Earthy"
Tutankhamon,2026,"Skunk, Pungent, Sweet","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Nausea, Inflammation",sativa,4.6,"Pungent,Skunk,Flowery"
Tutti Frutti,2027,"Sweet, Tropical, Berry","Relaxed, Euphoric, Happy, Creative, Energetic","Depression, Pain, Stress, Headache, Fatigue, Eye Pressure",hybrid,4.2,"Berry,Sweet,Tropical"
Twista,2028,"Sweet, Citrus, Earthy","Hungry, Happy, Creative, Energetic","Depression, Stress, Fatigue, Headaches, Eye Pressure",sativa,4.2,"Sweet,Citrus,Lime"
Twisted Citrus,2029,"Citrus, Orange, Lemon","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Stress, Lack of Appetite, Headaches, Inflammation",sativa,4.5,"Citrus,Orange,Earthy"
Tyson,2030,"Earthy, Pungent, Berry","Relaxed, Hungry, Euphoric, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Muscle Spasms",indica,4.8,"Earthy,Pungent,Sweet"
U2 Kush,2031,"Lavender, Sweet, Woody","Hungry, Uplifted, Tingly, Sleepy","Depression, Insomnia, Pain, Stress, Nausea, Headache",indica,4.1,"Sweet,Woody,Flowery"
Ultimate Trainwreck,2034,"Tropical, Sweet, Apple","Euphoric, Energetic, Talkative, Uplifted, Aroused","Depression, Pain, Stress, Nausea, Headache, Fatigue",sativa,4.4,"Tropical,Sweet,Spicy/Herbal"
Ultra Sonja,2036,"Blue Cheese, Pungent, Cheese","Relaxed, Happy, Uplifted, Sleepy, Aroused","Depression, Stress, Lack of Appetite, Headache, Fatigue, Headaches",hybrid,4.6,"Pungent,Tree,Fruit,Sweet"
Ultra Sour,2037,"Diesel, Lemon, Pine","Relaxed, Hungry, Happy, Creative, Uplifted","Depression, Stress, Lack of Appetite, Fatigue",sativa,4.8,"Diesel,Skunk,Lime"
Urkle Train Haze,2039,"Sweet, Grape, Pine","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Pain, Stress, Lack of Appetite, Nausea",hybrid,4.9,"Grape,Sweet,Pine"
Valentine X,2043,"Pungent, Citrus, Skunk","Relaxed, Hungry, Euphoric, Creative, Giggly","Depression, Pain, Stress, Fatigue, Inflammation",hybrid,4.4,"Citrus,Earthy,Pungent"
Valley Ghash,2044,"Sweet, Berry, Tropical","Relaxed, Hungry, Euphoric, Happy","Depression, Insomnia, Stress, Nausea, Headaches",hybrid,4.4,"Sweet,Berry,Tropical"
Valley Girl,2045,"Flowery, Earthy, Sweet","Relaxed, Hungry, Euphoric, Happy, Energetic","Depression, Pain, Stress, Lack of Appetite, Inflammation",hybrid,4.7,"Pine,Flowery,Earthy"
Vanilla Kush,2046,"Vanilla, Sweet, Lavender","Relaxed, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,4.3,"Vanilla,Sweet,Flowery"
Velvet Bud,2048,"Sweet, Citrus, Flowery","Euphoric, Creative, Energetic, Uplifted","Pain, Cramps, Lack of Appetite, Inflammation, Muscle Spasms",sativa,3.9,"Sweet,Citrus,Spicy/Herbal"
Verde Electric,2053,"Pungent, Pine, Diesel","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Nausea, Headache, Inflammation",hybrid,4.2,"Woody,Earthy,Sweet"
Versace,2054,"Flowery, Citrus, Grapefruit","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Pain, Stress, Headache, Fatigue, Headaches",hybrid,4.8,"Pungent,Berry,Diesel"
Very Berry Haze,2055,"Berry, Earthy, Grape","Euphoric, Happy, Creative, Energetic, Focused","Depression, Pain, Stress, Nausea, Fatigue",sativa,4.0,"Berry,Pungent,Sweet"
Violator Kush,2057,"Earthy, Woody, Spicy/Herbal","Relaxed, Euphoric, Happy, Sleepy, Focused","Depression, Insomnia, Pain, Stress, Headache, Headaches",indica,4.3,"Earthy,Spicy/Herbal,Woody"
Violet Delight,2058,"Flowery, Violet, Sweet","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Nausea",hybrid,4.4,"Violet,Spicy/Herbal,Lavender"
Viper,2059,"Citrus, Pungent, Minty","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Nausea",sativa,4.5,"Citrus,Pungent,Spicy/Herbal"
Voodoo,2060,"Nutty, Spicy/Herbal, Citrus","Hungry, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Nausea, Inflammation",sativa,4.2,"Earthy,Pungent,Sweet"
Vortex,2061,"Earthy, Mango, Lemon","Euphoric, Happy, Energetic, Talkative, Uplifted","Depression, Pain, Stress, Headache, Fatigue, Headaches",sativa,4.3,"Earthy,Lemon,Woody"
Waldo,2065,"Earthy, Pungent, Skunk","Hungry, Euphoric, Creative, Tingly","Depression, Pain, Lack of Appetite, Nausea, Eye Pressure",hybrid,4.0,"Spicy/Herbal,Earthy,Pungent"
Walker Kush,2066,"Earthy, Woody, Pine","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Nausea, Headache",hybrid,4.8,"Woody,Spicy/Herbal,Flowery"
Walter White,2069,"Earthy, Citrus, Pungent","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Lack of Appetite, Headaches, Inflammation",hybrid,4.7,"Earthy,Pungent,Lemon"
Wappa,2070,"Earthy, Flowery, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Inflammation",hybrid,4.3,"Sweet,Flowery,Citrus"
Warlock,2071,"Berry, Flowery, Pine","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Pain, Stress, Headaches, Inflammation",hybrid,3.9,"Earthy,Sweet,Flowery"
Watermelon,2072,"Sweet, Berry, Tropical","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.5,"Sweet,Berry,Tropical"
Webster,2073,"Citrus, Earthy, Skunk","Relaxed, Happy, Talkative, Uplifted, Sleepy","Pain, Stress, Headaches, Eye Pressure, Inflammation",sativa,4.5,"Citrus,Spicy/Herbal,Sweet"
Wedding Cake,2074,"Sweet, Earthy, Pungent","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",hybrid,4.7,"Sweet,Vanilla,Earthy"
West Coast Dawg,2076,"Sweet, Tropical, Woody","Relaxed, Euphoric, Sleepy, Aroused","Pain, Stress",indica,4.8,"Sweet,Woody,Nutty"
Wet Dream,2078,"Spicy/Herbal, Woody, Lemon","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Nausea, Headache",sativa,4.4,"Earthy,Spicy/Herbal,Woody"
Whitaker Blues,2079,"Sweet, Apple, Pear","Relaxed, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Fatigue",indica,4.2,"Sweet,Apple,Pear"
White 99,2080,"Pungent, Lemon, Earthy","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Stress, Fatigue, Headaches",hybrid,4.5,"Sweet,Pine,Citrus"
White Bastard,2081,"Blueberry, Sweet, Pine","Relaxed, Euphoric, Happy, Sleepy, Focused","Pain, Cramps, Inflammation, Spasticity, Muscle Spasms",indica,4.4,"Sweet,Blueberry,Diesel"
White Berry,2082,"Sweet, Earthy, Berry","Relaxed, Euphoric, Happy, Creative, Aroused","Depression, Pain, Stress, Nausea, Headache, Headaches",indica,4.1,"Berry,Earthy,Sweet"
White Buffalo,2084,"Sweet, Berry, Spicy/Herbal","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Fatigue",sativa,4.5,"Sweet,Berry,Earthy"
White Cheese,2086,"Cheese, Pungent, Earthy","Relaxed, Euphoric, Happy, Focused","Depression, Stress, Nausea, Headaches, Inflammation",hybrid,4.2,"Cheese,Pungent,Flowery"
White Cookies,2087,"Sweet, Earthy, Pungent","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Headache, Inflammation",hybrid,4.3,"Earthy,Sweet,Pungent"
White Dawg,2088,"Spicy/Herbal, Minty, Earthy","Relaxed, Hungry, Euphoric, Talkative","Depression, Pain, Stress, Lack of Appetite, Fatigue",hybrid,4.2,"Earthy,Woody,Spicy/Herbal"
White Diesel,2089,"Diesel, Pungent, Citrus","Relaxed, Euphoric, Talkative, Uplifted, Focused","Depression, Pain, Stress, Lack of Appetite, Nausea, Headache",hybrid,4.2,"Diesel,Pungent,Citrus"
White Dragon,2090,"Earthy, Woody, Lemon","Relaxed, Hungry, Euphoric, Happy, Talkative","Depression, Insomnia, Pain, Stress, Fatigue",indica,4.2,"Earthy,Woody,Sweet"
White Dream,2091,"Sweet, Citrus, Flowery","Relaxed, Happy, Energetic, Uplifted, Focused","Depression, Pain, Stress, Headaches, Inflammation",hybrid,4.6,"Earthy,Sweet,Citrus"
White Durban,2092,"Diesel, Skunk, Earthy","Euphoric, Happy, Energetic, Uplifted, Focused","Depression, Stress, Lack of Appetite, Fatigue, Headaches",sativa,4.6,"Earthy,Woody,Pine"
White Elephant,2093,"Sweet, Pungent, Earthy","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Stress, Headaches, Eye Pressure",hybrid,4.4,"Sweet,Earthy,Pungent"
White Empress,2094,"Citrus, Earthy, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Stress, Fatigue",indica,4.4,"Sweet,Citrus,Earthy"
White Fire 43,2095,"Pungent, Sweet, Earthy","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Fatigue",indica,4.7,"Pungent,Sweet,Earthy"
White Gold,2098,"Earthy, Spicy/Herbal, Pungent","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Pain, Stress, Lack of Appetite, Muscle Spasms",hybrid,4.7,"Earthy,Pungent,Tropical"
White Gorilla,2099,"Sweet, Pungent, Earthy","Relaxed, Euphoric, Happy, Focused, Giggly","Depression, Insomnia, Pain, Stress, Nausea",hybrid,4.7,"Tar,Sweet,Pungent"
White Haze,2100,"Lemon, Berry, Skunk","Euphoric, Happy, Creative, Energetic, Talkative","Depression, Pain, Stress, Fatigue, Muscle Spasms",sativa,4.0,"Lemon,Pine,Citrus"
White Knight,2101,"Earthy, Pungent, Sweet","Relaxed, Happy, Energetic, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Nausea",hybrid,4.6,"Earthy,Pungent,Sweet"
White Kryptonite,2102,"Berry, Pungent, Blueberry","Relaxed, Euphoric, Happy, Giggly","Depression, Insomnia, Pain, Stress, Headaches",indica,4.5,"Berry,Pungent,Sweet"
White Kush,2103,"Earthy, Pungent, Sweet","Relaxed, Hungry, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Headaches",indica,4.5,"Nutty,Honey,Vanilla"
White Lavender,2104,"Lavender, Flowery, Pungent","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Headache, Eye Pressure, Inflammation",hybrid,4.2,"Lavender,Flowery,Earthy"
White Lightning,2105,"Sweet, Pungent, Flowery","Relaxed, Euphoric, Happy, Creative, Uplifted","Pain, Stress, Lack of Appetite, Inflammation, Muscle Spasms",hybrid,4.4,"Sweet,Skunk,Pungent"
White Lotus,2106,"Citrus, Spicy/Herbal, Earthy","Relaxed, Euphoric, Happy, Talkative, Focused","Depression, Pain, Stress, Cramps, Inflammation",hybrid,4.2,"Earthy,Citrus,Sweet"
White Nightmare,2107,"Earthy, Citrus, Blueberry","Euphoric, Happy, Creative, Uplifted, Focused","Depression, Pain, Stress, Lack of Appetite, Muscle Spasms",sativa,4.7,"Earthy,Sweet,Berry"
White Queen,2109,"Earthy, Sweet, Diesel","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Stress, Lack of Appetite, Fatigue, Headaches",hybrid,4.6,"Earthy,Sweet,Diesel"
White Rhino,2110,"Earthy, Pungent, Woody","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,4.2,"Earthy,Sweet,Skunk"
White Romulan,2111,"Earthy, Pungent, Pine","Relaxed, Happy, Talkative, Giggly","Depression, Insomnia, Pain, Stress, Headaches",hybrid,4.3,"Pungent,Skunk,Diesel"
White Russian,2112,"Sweet, Skunk, Earthy","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Headache, Fatigue",hybrid,4.3,"Sweet,Skunk,Citrus"
White Sangria,2114,"Sweet, Earthy, Nutty","Relaxed, Happy, Energetic, Uplifted, Focused","Depression, Stress, Cramps, Fatigue, Headaches",hybrid,4.7,"Sweet,Lemon,Citrus"
White Siberian,2115,"Earthy, Sweet, Flowery","Relaxed, Creative, Talkative, Uplifted","Pain, Stress, Lack of Appetite, Headaches, Inflammation",hybrid,4.5,"Earthy,Sweet,Flowery"
White Skunk,2116,"Skunk, Citrus, Sweet","Relaxed, Euphoric, Happy, Uplifted, Tingly","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",hybrid,4.4,"Pungent,Skunk,Sweet"
White Slipper,2117,"Flowery, Spicy/Herbal, Sweet","Relaxed, Happy, Creative, Talkative, Uplifted","Depression, Pain, Stress, Cramps, Fatigue",hybrid,4.7,"Flowery,Spicy/Herbal,Sweet"
White Smurf,2118,"Citrus, Earthy, Minty","Creative, Energetic, Talkative, Uplifted, Focused","Pain, Inflammation",hybrid,4.4,"Minty,Menthol,Violet"
White Strawberry,2119,"Citrus, Sweet",Happy,"Depression, Stress, Headache, Headaches",hybrid,3.0,"Citrus,Sweet"
White Urkle,2120,"Pungent, Spicy/Herbal, Woody","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Nausea",hybrid,4.6,"Sweet,Flowery,Earthy"
White Walker Kush,2121,"Earthy, Sweet, Citrus","Relaxed, Euphoric, Happy, Creative, Energetic","Depression, Insomnia, Stress, Lack of Appetite, Headaches",hybrid,4.2,"Earthy,Sage,Citrus"
White Widow,2123,"Earthy, Woody, Pungent","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Fatigue",hybrid,4.3,"Earthy,Woody,Pungent"
White Zombie,2124,"Sage, Flowery, Pungent","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.0,"Pungent,Sage,Earthy"
Whiteout,2125,"Earthy, Pine, Citrus","Euphoric, Happy, Creative, Focused","Depression, Stress",hybrid,4.6,"Sweet,Citrus,Orange"
Wild Thailand,2127,"Berry, Sweet, Woody","Euphoric, Creative, Aroused","Depression, Pain, Stress, Fatigue, Headaches",sativa,3.8,"Citrus,Berry,Spicy/Herbal"
